Genre,0s,1s,2s,3s,4s,5s
Electronic,3,14,42,86,59,0
Experimental,2,4,6,18,34,46
Folk/Country,0,0,3,7,16,11
Global,0,0,1,0,6,3
Jazz,0,1,2,7,14,0
Metal,2,5,13,29,0,0
Pop/R&B,3,2,17,25,34,0
Rap,1,5,14,31,28,0
Rock,17,34,105,212,152,0
