Genre,8s,9s,10s
Electronic,137,69,3
Experimental,19,61,6
Folk/Country,35,14,1
Global,6,4,0
Jazz,0,19,3
Metal,42,8,0
Pop/R&B,26,22,12
Rap,38,32,8
Rock,109,279,53
